HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
4510,,h,Psc,14.458958,28.992222,5.44,,
4577,,α,Scl,14.651458,-29.357472,4.3,,
4587,,φ4,Cet,14.682875,-11.379944,5.62,,
4770,,ξ,Scl,15.325958,-38.916639,5.59,,
4852,,σ,Scl,15.609917,-31.552056,5.5,,
4889,,σ,Psc,15.704542,31.804333,5.5,,
4903,,39,And,15.726167,41.345194,5.95,,
4906,,ε,Psc,15.736083,7.890083,4.27,,
4914,,25,Cet,15.760833,-4.836361,5.4,,
4979,,26,Cet,15.954,1.366944,6.06,,
5074,,73,Psc,16.21925,5.656306,6.03,,
5081,,72,Psc,16.272292,14.946,5.64,,
5121,,27,Cet,16.40375,-9.97925,6.09,,
5131,,ψ1A,Psc,16.420542,21.473222,5.33,,
5132,,ψ1B,Psc,16.423667,21.465472,5.55,,
5141,,77B,Psc,16.455083,4.908667,6.35,,
5144,,77A,Psc,16.46425,4.909722,7.26,,
5164,,28,Cet,16.521375,-9.839361,5.58,,
5165,,β,Phe,16.521292,-46.7185,3.32,,
5204,,75,Psc,16.640083,12.955972,6.14,,
5268,,ι,Tuc,16.827375,-61.77525,5.36,,
5296,,30,Cet,16.942167,-9.785583,5.71,,
5300,,υ,Phe,16.949292,-41.486944,5.21,,
5310,,ψ2,Psc,16.987958,20.739333,5.56,,
5317,,41,And,17.003,43.94225,5.04,,
5319,,78,Psc,17.005,32.012194,6.23,,
5336,,μ,Cas,17.053833,54.924222,5.17,,
5346,,e,Psc,17.093083,5.650222,5.51,,
5348,,ζ,Phe,17.096083,-55.245833,3.94,,
5364,,η,Cet,17.146917,-10.181917,3.46,,
5434,,φ,And,17.3755,47.241833,4.26,,
5447,Mirach,β,And,17.4325,35.620833,2.07,ミラク,
5454,,ψ3,Psc,17.455,19.658389,5.57,,
5485,,32,Cet,17.549833,-8.906028,6.4,,
5493,,44,And,17.578542,42.081583,5.67,,
5510,,33,Cet,17.639833,2.445722,5.97,,
5518,,31,Cas,17.663625,68.778694,5.32,,
5542,,θ,Cas,17.774708,55.149944,4.34,,
5544,,g,Psc,17.778208,31.424778,5.15,,
5550,,45,And,17.792875,37.724139,5.8,,
5571,,χ,Psc,17.863292,21.034667,4.66,,
5586,,τ,Psc,17.914958,30.089722,4.51,,
5589,,32,Cas,17.922375,65.018889,5.57,,
5594,,34,Cet,17.931417,-2.251028,5.93,,
5737,,ζA,Psc,18.4325,7.5755,5.21,,
5742,,φ,Psc,18.43725,24.583778,4.67,,
5743,,ζB,Psc,18.438208,7.578389,6.44,,
5778,,87,Psc,18.531875,16.133556,5.97,,
5799,,37,Cet,18.599875,-7.9235,5.14,,
5824,,88,Psc,18.676667,6.995194,6.04,,
5833,,38,Cet,18.704917,-0.974306,5.7,,
5862,,ν,Phe,18.794042,-45.532083,4.97,,
5896,,κ,Tuc,18.939583,-68.87625,4.25,,
5951,,39,Cet,19.151458,-2.500222,5.42,,
6061,,f,Psc,19.449917,3.614528,5.13,,
6193,,υ,Psc,19.866583,27.264083,4.74,,
6226,,42,Cet,19.951208,-0.509,5.87,,
6242,,φ,Cas,20.0205,58.231611,4.95,,
6312,,35,Cas,20.271625,64.658194,6.33,,
6315,,l,Psc,20.280625,28.738389,5.23,,
6411,Adhil,ξ,And,20.584958,45.52875,4.87,アディル,
6429,,43,Cet,20.645083,-0.449639,6.5,,
6514,,47,And,20.919,37.715,5.6,,
6537,,θ,Cet,21.006042,-8.18275,3.6,,
6539,,44,Cet,21.010125,-8.00725,6.21,,
6670,,46,Cet,21.405042,-14.59875,4.9,,
6686,Ruchbah,δ,Cas,21.4525,60.235417,2.66,ルクバー,
6692,,ψ,Cas,21.482917,68.129944,4.72,,
6706,,ρ,Psc,21.563667,19.172333,5.35,,
6732,,94,Psc,21.673542,19.240556,5.5,,
6748,,47,Cet,21.714833,-13.056528,5.51,,
6813,,ω,And,21.912875,45.406944,4.83,,
6867,,γ,Phe,22.091417,-43.317722,3.41,,
