県番号,都道府県,名称,郵便番号,住所,緯度,経度
13,東京都,葛飾,125-0062,東京都葛飾区青戸3-40-6　4F,35.7452747,139.8546161
13,東京都,武蔵野,180-0013,東京都武蔵野市西久保1-6-26　第二山下ビル3Ｆ,35.7064155,139.560195
13,東京都,調布,182-0022,東京都調布市国領町5-73-7,35.6489594,139.5510833
13,東京都,調布西,182-0024,東京都調布市布田1-43-2　S棟401,35.6525221,139.5450987
13,東京都,大泉,189-0001,東京都東村山市秋津5-5-13 ワ-ルドビル1階,35.7798575,139.4940231
13,東京都,八王子,192-0904,東京都八王子市子安町3-20-6,35.6507596,139.3381524
13,東京都,西武,188-0011,東京都西東京市田無町2-11-7　オークビル田無3Ｆ,35.728429,139.5414843
13,東京都,昭島,196-0034,東京都昭島市玉川町5-22-12　101,35.7064996,139.376478
13,東京都,町田,194-0021,東京都町田市中町1-22-10　天一ビル2F,35.5495505,139.4463026
13,東京都,立川,190-0011,東京都立川市高松町3-14-15平和ビル5Ｆ,35.7026989,139.416115
23,愛知県,名古屋,464-0832,愛知県名古屋市千種区山添町2-79番地,35.1615305,136.9523174
23,愛知県,名城,460-0002,愛知県名古屋市中区丸の内1-2-30 胡蝶丸の内ビル,35.1770734,136.8941788
23,愛知県,金山,460-0017,愛知県名古屋市中区松原2丁目21-2,35.1548868,136.896438
23,愛知県,豊田,471-0877,愛知県豊田市錦町2丁目5-1,35.0735264,137.1586694
23,愛知県,緑,458-0847,愛知県名古屋市緑区浦里3-3,35.0857772,136.948239
23,愛知県,東海,476-0011,愛知県東海市富木島町外面13-15,35.0244394,136.9146059
23,愛知県,愛知孝成,466-0856,愛知県名古屋市昭和区川名町4-93-7,35.1522255,136.9436502
23,愛知県,岡崎,444-0045,愛知県岡崎市康生通東2-53番地 渡辺ビル3F,34.9591754,137.16625
23,愛知県,豊川,442-0886,愛知県豊川市千歳2-29-1,34.8267523,137.3757774
23,愛知県,一宮,491-0831,愛知県一宮市森本5-19-20,35.2856426,136.8132335
23,愛知県,犬山,484-0096,愛知県犬山市塔野地西中ノ切15-1,35.3763991,136.9644578
23,愛知県,津島,496-0004,愛知県津島市蛭間町字枡田307-1,35.1856838,136.7737357
23,愛知県,瀬戸,489-0986,愛知県瀬戸市南山2-57,35.2218343,137.0630729
23,愛知県,知立,448-0003,愛知県刈谷市一ツ木町8-6-15  2F,35.0177218,137.0216634
23,愛知県,名進,465-0018,愛知県名古屋市名東区八前2-116,35.181718,136.9849747
23,愛知県,豊橋,440-0865,愛知県豊橋市向山台町15-16,34.7585194,137.3998052
23,愛知県,碧海,444-1154,愛知県安城市桜井町宮西11-7　安城第14東海ビル2F,34.9256412,137.0955115
23,愛知県,春日井,486-0851,愛知県春日井市篠木町3-59,35.2513488,136.9855111
23,愛知県,江南,483-8213,愛知県江南市古知野町朝日248番地,35.3336293,136.8708435
22,静岡県,静岡,420-0859,静岡県静岡市葵区栄町1-17,34.9748382,138.3914113
22,静岡県,沼津,410-0302,静岡県沼津市東椎路21-1,35.116828,138.8409894
22,静岡県,富士山,417-0024,静岡県富士市八代町7-14,35.1539633,138.6943309
22,静岡県,浜松,430-0846,静岡県浜松市南区白羽町319-1,34.6784808,137.7343451
22,静岡県,浜松北,434-0033,静岡県浜松市浜北区西美薗27-6,34.7927441,137.7895331
22,静岡県,藤枝,426-0037,静岡県藤枝市青木3-13-1,34.8550835,138.2545357
22,静岡県,磐周,438-0821,静岡県磐田市立野151,34.7199594,137.821876
21,岐阜県,岐阜,500-8356,岐阜県岐阜市六条江東2丁目1-9,35.3912241,136.7466133
21,岐阜県,各務原,504-0844,岐阜県各務原市蘇原吉新町2-48,35.4078617,136.8581576
21,岐阜県,高山,506-0817,岐阜県高山市山口町874-3,36.1420392,137.2837025
21,岐阜県,大垣,503-0923,岐阜県大垣市船町4-13,35.3557789,136.6109305
21,岐阜県,東濃,509-5154,岐阜県土岐市泉西山町1-6　TAKビル6F,35.3577143,137.1750847
19,山梨県,甲府,400-0858,山梨県甲府市相生1-1-1　M-1ビル6F,35.6577506,138.5664227
20,長野県,長野,381-0014,長野県長野市北尾張部730番地,36.6552277,138.234541
20,長野県,松本,390-0821,長野県松本市筑摩1‐2-17,36.2261449,137.978751
20,長野県,諏訪,392-0021,長野県諏訪市上川2-2203-1　上川ビル2F,36.0306602,138.1149973
20,長野県,飯田,395-0812,長野県飯田市松尾代田809-3,35.4927187,137.8290514
20,長野県,上田,386-0151,長野県上田市芳田1815-9,36.3766565,138.2915873
20,長野県,安曇野,399-8301,長野県安曇野市穂高有明豊里8657-4,36.3460003,137.8453636
20,長野県,伊那,399-4511,長野県上伊那郡南箕輪村神子柴8304-471,35.8576805,137.9702741
20,長野県,佐久,385-0051,長野県佐久市中込2-23-5 アクアビル3F,36.2278712,138.4757389
20,長野県,信州中野,381-0208,長野県上高井郡小布施町都住429-2,36.706595,138.3219457
15,新潟県,新潟,950-0064,新潟県新潟市東区松島2-4-33,37.9321013,139.0749432
15,新潟県,新潟西,950-2042,新潟県新潟市西区坂井1-20-4,37.8759082,138.9834674
15,新潟県,新発田,959-2311,新潟県新発田市荒町字道下甲101番地,37.9296639,139.3254965
15,新潟県,新潟東,950-0892,新潟県新潟市東区寺山1-18-21,37.9169749,139.1067604
15,新潟県,長岡,940-0072,新潟県長岡市柳原町5-1,37.4474833,138.8436913
